
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-05-14 00:50:57 ...................................................................................... ~ 1.40ms
  2026-05-14 00:51:26 /login ................................................................................... ~ 3s
  2026-05-14 00:51:29 ...................................................................................... ~ 1.30ms
  2026-05-14 00:51:55 /login ............................................................................. ~ 504.72ms
  2026-05-14 00:51:56 /login ................................................................................... ~ 2s
  2026-05-14 00:51:58 /dashboard ............................................................................... ~ 2s
  2026-05-14 00:52:28 ...................................................................................... ~ 0.63ms
  2026-05-14 01:58:21 / ........................................................................................ ~ 1s
  2026-05-14 01:58:22 /dashboard ........................................................................... ~ 0.38ms
  2026-05-14 01:58:23 /login ............................................................................. ~ 501.12ms
  2026-05-14 01:58:32 /login ................................................................................... ~ 1s
  2026-05-14 01:58:33 /dashboard ......................................................................... ~ 510.06ms
  2026-05-14 01:58:52 /notifications ........................................................................... ~ 1s
  2026-05-14 01:58:58 /carriers ................................................................................ ~ 7s
  2026-05-14 01:59:06 /carriers ................................................................................ ~ 1s
  2026-05-14 01:59:06 /users ............................................................................... ~ 2s
  2026-05-14 02:00:37 / .................................................................................. ~ 516.20ms
  2026-05-14 02:00:37 /dashboard ........................................................................... ~ 0.23ms
  2026-05-14 02:00:37 /build/assets/app-Bo-0Y4AO.css ....................................................... ~ 2.40ms
  2026-05-14 02:00:37 /build/assets/app-Chp6bDyy.js ........................................................ ~ 4.27ms
  2026-05-14 02:00:41 /shipments ............................................................................... ~ 1s
  2026-05-14 02:16:14 /login ................................................................................... ~ 1s
  2026-05-14 02:16:14 /track ................................................................................... ~ 2s
  2026-05-14 02:16:36 /login ................................................................................... ~ 1s
  2026-05-14 02:16:37 /login ................................................................................... ~ 1s
  2026-05-14 02:16:38 /dashboard ............................................................................... ~ 8s
  2026-05-14 02:16:46 /shipments ............................................................................... ~ 2s
  2026-05-14 02:16:49 /users ............................................................................... ~ 2s
  2026-05-14 02:16:51 /carriers ................................................................................ ~ 2s
  2026-05-14 02:16:53 /tracking/live-map ....................................................................... ~ 1s
  2026-05-14 02:16:54 /notifications ..................................................................... ~ 509.76ms
  2026-05-14 02:16:54 /track/IND260513DZ1OYO ................................................................... ~ 1s
  2026-05-14 02:18:15 /login ................................................................................... ~ 1s
  2026-05-14 02:18:16 /login ................................................................................... ~ 1s
  2026-05-14 02:18:17 /dashboard ............................................................................... ~ 2s
  2026-05-14 02:18:19 /shipments ............................................................................... ~ 1s
  2026-05-14 02:18:21 /users ............................................................................... ~ 1s
  2026-05-14 02:18:22 /carriers .......................................................................... ~ 508.46ms
  2026-05-14 02:18:23 /tracking/live-map ................................................................. ~ 508.75ms
  2026-05-14 02:18:23 /notifications ........................................................................... ~ 1s
  2026-05-14 02:18:24 /track/IND260513DZ1OYO ............................................................. ~ 506.63ms
  2026-05-14 02:19:53 /login ............................................................................. ~ 518.73ms
  2026-05-14 02:19:54 /login ................................................................................... ~ 1s
  2026-05-14 02:19:55 /dashboard ............................................................................... ~ 2s
  2026-05-14 02:19:57 /shipments ............................................................................... ~ 1s
  2026-05-14 02:19:59 /users ............................................................................... ~ 1s
  2026-05-14 02:20:00 /carriers .......................................................................... ~ 511.03ms
  2026-05-14 02:20:01 /tracking/live-map ................................................................. ~ 508.21ms
  2026-05-14 02:20:01 /notifications ........................................................................... ~ 1s
  2026-05-14 02:20:02 /track ............................................................................. ~ 505.86ms
  2026-05-14 02:20:03 /track/IND260513DZ1OYO ............................................................. ~ 505.53ms
  2026-05-14 02:20:03 /track ............................................................................. ~ 517.26ms
  2026-05-14 02:20:04 /track ................................................................................... ~ 1s
  2026-05-14 02:20:20 /track ............................................................................. ~ 515.90ms
  2026-05-14 02:20:20 /track ............................................................................. ~ 507.52ms
  2026-05-14 02:20:21 /track/IND260513DZ1OYO ............................................................. ~ 536.27ms
  2026-05-14 02:22:00 / ........................................................................................ ~ 1s
  2026-05-14 02:22:01 /dashboard ............................................................................... ~ 1s
  2026-05-14 02:22:02 /build/assets/app-DZeI3KQg.css ....................................................... ~ 0.39ms
  2026-05-14 02:22:02 /build/assets/app-Chp6bDyy.js ........................................................ ~ 3.17ms
  2026-05-14 02:22:12 /track ................................................................................... ~ 1s
